en,ru-RU,zh-CN,zh-TW,ja,ko,fr
Apply port,Применить порт,应用端口,套用連接埠,ポートを適用,포트 적용,Appliquer le port
At least one GeoSite source is required.,Необходимо указать хотя бы один источник GeoSite.,至少需要一个 GeoSite 源。,至少需要一個 GeoSite 來源。,少なくとも1つの GeoSite ソースが必要です。,GeoSite 소스가 하나 이상 필요합니다.,Au moins une source GeoSite est requise.
Auto-refresh,Автообновление,自动刷新,自動重新整理,自動更新,자동 새로 고침,Actualisation automatique
Automatic Game Mode application list saved.,Список приложений автоматического игрового режима сохранён.,自动游戏模式应用程序列表已保存。,自動遊戲模式應用程式清單已儲存。,自動 Game Mode のアプリケーション一覧を保存しました。,자동 Game Mode 애플리케이션 목록을 저장했습니다.,La liste des applications du Game Mode automatique a été enregistrée.
Background mode,Фоновый режим,后台模式,背景模式,バックグラウンドモード,백그라운드 모드,Mode arrière-plan
Behavior,Поведение,行为,行為,動作,동작,Comportement
Logging,Журналирование,日志,記錄,ログ,로깅,Journalisation
Block,Блокировать,阻止,封鎖,ブロック,차단,Bloquer
Bold,Полужирный,粗体,粗體,太字,굵게,Gras
Capture mode,Режим захвата,捕获模式,擷取模式,キャプチャモード,캡처 모드,Mode de capture
Checking GitHub releases…,Проверка релизов GitHub…,正在检查 GitHub 版本…,正在檢查 GitHub 版本…,GitHub のリリースを確認しています…,GitHub 릴리스를 확인하는 중…,Vérification des versions GitHub…
Choose Local GeoSite PAC or an Online PAC and manage the ordered GeoSite source list.,Выберите локальный PAC на основе GeoSite или онлайн-PAC и управляйте упорядоченным списком источников GeoSite.,选择本地 GeoSite PAC 或在线 PAC，并管理有序的 GeoSite 源列表。,選擇本機 GeoSite PAC 或線上 PAC，並管理已排序的 GeoSite 來源清單。,ローカル GeoSite PAC またはオンライン PAC を選択し、順序付きの GeoSite ソース一覧を管理します。,로컬 GeoSite PAC 또는 온라인 PAC를 선택하고 정렬된 GeoSite 소스 목록을 관리합니다.,Choisir le PAC GeoSite local ou un PAC en ligne et gérer la liste ordonnée des sources GeoSite.
"Choose User or Administrator capture, inspect WinDivert state, and route individual applications.","Выберите пользовательский режим или режим администратора, контролируйте состояние WinDivert и задавайте маршрутизацию отдельных приложений.",选择用户或管理员捕获，查看 WinDivert 状态，并按应用程序路由。,選擇使用者或系統管理員擷取、檢視 WinDivert 狀態，並依應用程式路由。,ユーザーまたは管理者キャプチャを選択し、WinDivert の状態を確認してアプリケーションごとにルーティングします。,사용자 또는 관리자 캡처를 선택하고 WinDivert 상태를 확인하며 애플리케이션별로 라우팅합니다.,"Choisir la capture utilisateur ou administrateur, inspecter l’état de WinDivert et router les applications individuellement."
Clear logs,Очистить логи,清除日志,清除記錄,ログを消去,로그 지우기,Effacer les journaux
Clipboard does not contain an ss:// URL,Буфер обмена не содержит URL ss://,剪贴板不包含 ss:// URL,剪貼簿不包含 ss:// URL,クリップボードに ss:// URL がありません,클립보드에 ss:// URL이 없습니다,Le Presse-papiers ne contient pas d’URL ss://
Clipboard does not contain text,Буфер обмена не содержит текста,剪贴板不包含文本,剪貼簿不包含文字,クリップボードにテキストがありません,클립보드에 텍스트가 없습니다,Le Presse-papiers ne contient pas de texte
Closing the window hides it to the notification area. The proxy controller keeps running until you choose Exit from the tray menu.,"Закрытие окна скрывает его в область уведомлений. Контроллер прокси продолжает работать, пока вы не выберете выход в меню трея.",关闭窗口会将其隐藏到通知区域。代理控制器会继续运行，直到从托盘菜单选择“退出”。,關閉視窗會將其隱藏到通知區域。Proxy 控制器會繼續執行，直到從系統匣選單選擇「結束」。,ウィンドウを閉じると通知領域に隠れます。トレイメニューから「終了」を選ぶまでプロキシコントローラーは動作を続けます。,창을 닫으면 알림 영역으로 숨겨집니다. 트레이 메뉴에서 종료를 선택할 때까지 프록시 컨트롤러는 계속 실행됩니다.,La fermeture de la fenêtre la masque dans la zone de notification. Le contrôleur proxy continue de fonctionner jusqu’à ce que vous choisissiez Quitter dans le menu de la zone de notification.
Configure global keyboard shortcuts.,Настройте глобальные сочетания клавиш.,配置全局键盘快捷键。,設定全域鍵盤快速鍵。,グローバルキーボードショートカットを設定します。,전역 키보드 단축키를 구성합니다.,Configurer les raccourcis clavier globaux.
Connect to the Shadowsocks server through an optional upstream proxy.,Подключайтесь к серверу Shadowsocks через необязательный внешний прокси.,通过可选的上游代理连接 Shadowsocks 服务器。,透過選用的上游 Proxy 連線 Shadowsocks 伺服器。,任意の上流プロキシ経由で Shadowsocks サーバーに接続します。,선택적 업스트림 프록시를 통해 Shadowsocks 서버에 연결합니다.,Se connecter au serveur Shadowsocks via un proxy amont facultatif.
Connection state,Состояние подключения,连接状态,連線狀態,接続状態,연결 상태,État de la connexion
Controller,Контроллер,控制器,控制器,コントローラー,컨트롤러,Contrôleur
Controller is unavailable.,Контроллер недоступен.,控制器不可用。,控制器無法使用。,コントローラーを利用できません。,컨트롤러를 사용할 수 없습니다.,Le contrôleur est indisponible.
Controller unavailable,Контроллер недоступен,控制器不可用,控制器無法使用,コントローラー利用不可,컨트롤러 사용 불가,Contrôleur indisponible
Copy,Копировать,复制,複製,コピー,복사,Copier
Copy link,Копировать ссылку,复制链接,複製連結,リンクをコピー,링크 복사,Copier le lien
"Core networking is UI-independent. Windows integration, WinDivert coordination and tray support live in the Windows platform layer.","Сетевое ядро не зависит от интерфейса. Интеграция с Windows, координация WinDivert и поддержка трея находятся в платформенном слое Windows.",核心网络逻辑独立于 UI。Windows 集成、WinDivert 协调和托盘支持位于 Windows 平台层。,核心網路邏輯獨立於 UI。Windows 整合、WinDivert 協調與系統匣支援位於 Windows 平台層。,コアネットワークは UI から独立しています。Windows 統合、WinDivert の制御、トレイ対応は Windows プラットフォーム層にあります。,"핵심 네트워킹은 UI와 독립적입니다. Windows 통합, WinDivert 조정 및 트레이 지원은 Windows 플랫폼 계층에 있습니다.","Le réseau principal est indépendant de l’interface. L’intégration Windows, la coordination WinDivert et la prise en charge de la zone de notification résident dans la couche de plateforme Windows."
Credentials (optional),Учётные данные (необязательно),凭据（可选）,認證資訊（選用）,認証情報（任意）,자격 증명(선택 사항),Identifiants (facultatif)
Ctrl+Alt+S,Ctrl+Alt+S,Ctrl+Alt+S,Ctrl+Alt+S,Ctrl+Alt+S,Ctrl+Alt+S,Ctrl+Alt+S
"Current proxy, server, and system-shell state at a glance.","Краткое состояние прокси, сервера и системной оболочки.",一览当前代理、服务器和系统 shell 状态。,快速檢視目前的 Proxy、伺服器與系統 Shell 狀態。,現在のプロキシ、サーバー、システムシェルの状態を一覧表示します。,"현재 프록시, 서버 및 시스템 셸 상태를 한눈에 확인합니다.","Afficher d’un coup d’œil l’état actuel du proxy, du serveur et du shell système."
Current state,Текущее состояние,当前状态,目前狀態,現在の状態,현재 상태,État actuel
